
════════════════════════════════════════════════════════
  DRTS Cross-Surface E2E Suite
  API: http://localhost:3001
  Bearer auth: disabled
  Run ID: 2051488
════════════════════════════════════════════════════════

▶ Running: E2E-015-partner-program-variants
  ✓ PASS  E2E-015-partner-program-variants

════════════════════════════════════════════════════════
  E2E Results: 1/1 passed

  Chain file:    /tmp/drts-e2e-chain-2051488.json
  Evidence log:  /tmp/drts-e2e-evidence-2051488.log

Evidence capture:
2026-07-27T04:14:14Z | E2E-015 | insurance | serviceProductId=SVP-000001
2026-07-27T04:14:14Z | E2E-015 | insurance | serviceProductActive=true
2026-07-27T04:14:15Z | E2E-015 | insurance | entrySlug=e2e-insurance-replacement-1785125654-2051564
2026-07-27T04:14:15Z | E2E-015 | insurance | partnerId=partner_04a77f91-de7a-4324-b431-757c2c12ef59
2026-07-27T04:14:15Z | E2E-015 | insurance | partnerProgramId=program-e2e-insurance-1785125654-2051564
2026-07-27T04:14:15Z | E2E-015 | insurance | businessDispatchSubtype=insurance_replacement_vehicle
2026-07-27T04:14:15Z | E2E-015 | insurance | missingReferenceCode=REFERENCE_TOKEN_REQUIRED
2026-07-27T04:14:15Z | E2E-015 | insurance | reference-pending-reviewStatus=manual_review
2026-07-27T04:14:15Z | E2E-015 | insurance | reference-pending-reviewReason=REFERENCE_PENDING_REVIEW
2026-07-27T04:14:15Z | E2E-015 | insurance | reference-pending-reviewBookingCode=ELIGIBILITY_NOT_APPROVED
2026-07-27T04:14:15Z | E2E-015 | insurance | reference-not-foundStatus=ineligible
2026-07-27T04:14:15Z | E2E-015 | insurance | reference-not-foundReason=REFERENCE_NOT_FOUND
2026-07-27T04:14:15Z | E2E-015 | insurance | reference-not-foundBookingCode=ELIGIBILITY_NOT_APPROVED
2026-07-27T04:14:15Z | E2E-015 | insurance | reference-expiredStatus=ineligible
2026-07-27T04:14:15Z | E2E-015 | insurance | reference-expiredReason=REFERENCE_EXPIRED
2026-07-27T04:14:15Z | E2E-015 | insurance | reference-expiredBookingCode=ELIGIBILITY_NOT_APPROVED
2026-07-27T04:14:15Z | E2E-015 | insurance | reference-cancelledStatus=ineligible
2026-07-27T04:14:15Z | E2E-015 | insurance | reference-cancelledReason=REFERENCE_CANCELLED
2026-07-27T04:14:15Z | E2E-015 | insurance | reference-cancelledBookingCode=ELIGIBILITY_NOT_APPROVED
2026-07-27T04:14:15Z | E2E-015 | insurance | eligibilityVerificationId=elig_0f7bdd3c-ef0d-4d75-aa94-44cd3f2e1911
2026-07-27T04:14:15Z | E2E-015 | insurance | benefitReference=benefit-insurance-1785125654-2051564
2026-07-27T04:14:15Z | E2E-015 | insurance | issuerAuthorizationRef=issuer-ref-2912731b
2026-07-27T04:14:15Z | E2E-015 | insurance | wrongSubtypeCode=PARTNER_ENTRY_SUBTYPE_MISMATCH
2026-07-27T04:14:15Z | E2E-015 | insurance | bookingId=booking-000001
2026-07-27T04:14:16Z | E2E-015 | insurance | orderId=51600357-37a9-4af3-9094-f9025bbf2351
2026-07-27T04:14:16Z | E2E-015 | insurance | dispatchJobId=9ab1b7e4-4ae4-4968-998e-daf1b17049a2
2026-07-27T04:14:16Z | E2E-015 | insurance | taskId=7164cc77-f12d-4b76-8395-5ae0b7752f54
2026-07-27T04:14:16Z | E2E-015 | insurance | driverId=drv-demo-004
2026-07-27T04:14:16Z | E2E-015 | insurance | vehicleId=veh-demo-004
2026-07-27T04:14:16Z | E2E-015 | insurance | completedAt=2026-07-27T04:14:16Z
2026-07-27T04:14:16Z | E2E-015 | insurance | bookingStatusFinal=completed
2026-07-27T04:14:18Z | E2E-015 | insurance | invoiceId=invoice-d1ae3562-3c87-4113-ab68-7b4fdc7951e2
2026-07-27T04:14:18Z | E2E-015 | insurance | invoiceLineCountForOrderId=1
2026-07-27T04:14:18Z | E2E-015 | insurance | invoice.channelKey=partner_airport
2026-07-27T04:14:18Z | E2E-015 | insurance | invoice.businessDispatchSubtype=insurance_replacement_vehicle
2026-07-27T04:14:18Z | E2E-015 | insurance | invoice.partnerEntrySlug=e2e-insurance-replacement-1785125654-2051564
2026-07-27T04:14:18Z | E2E-015 | insurance | invoice.partnerId=partner_04a77f91-de7a-4324-b431-757c2c12ef59
2026-07-27T04:14:18Z | E2E-015 | insurance | invoice.partnerProgramId=program-e2e-insurance-1785125654-2051564
2026-07-27T04:14:18Z | E2E-015 | insurance | invoice.eligibilityVerificationId=elig_0f7bdd3c-ef0d-4d75-aa94-44cd3f2e1911
2026-07-27T04:14:18Z | E2E-015 | insurance | invoice.benefitReference=benefit-insurance-1785125654-2051564
2026-07-27T04:14:18Z | E2E-015 | insurance | invoice.issuerAuthorizationRef=issuer-ref-2912731b
2026-07-27T04:14:18Z | E2E-015 | travel | serviceProductId=SVP-000002
2026-07-27T04:14:18Z | E2E-015 | travel | serviceProductActive=true
2026-07-27T04:14:18Z | E2E-015 | travel | entrySlug=e2e-travel-agency-1785125654-2051564
2026-07-27T04:14:18Z | E2E-015 | travel | partnerId=partner_04192a22-66fe-4b38-a947-18346e991ce3
2026-07-27T04:14:18Z | E2E-015 | travel | partnerProgramId=program-e2e-travel-1785125654-2051564
2026-07-27T04:14:18Z | E2E-015 | travel | businessDispatchSubtype=travel_agency_transfer
2026-07-27T04:14:18Z | E2E-015 | travel | missingReferenceCode=REFERENCE_TOKEN_REQUIRED
2026-07-27T04:14:18Z | E2E-015 | travel | reference-pending-reviewStatus=manual_review
2026-07-27T04:14:18Z | E2E-015 | travel | reference-pending-reviewReason=REFERENCE_PENDING_REVIEW
2026-07-27T04:14:19Z | E2E-015 | travel | reference-pending-reviewBookingCode=ELIGIBILITY_NOT_APPROVED
2026-07-27T04:14:19Z | E2E-015 | travel | reference-not-foundStatus=ineligible
2026-07-27T04:14:19Z | E2E-015 | travel | reference-not-foundReason=REFERENCE_NOT_FOUND
2026-07-27T04:14:19Z | E2E-015 | travel | reference-not-foundBookingCode=ELIGIBILITY_NOT_APPROVED
2026-07-27T04:14:19Z | E2E-015 | travel | reference-expiredStatus=ineligible
2026-07-27T04:14:19Z | E2E-015 | travel | reference-expiredReason=REFERENCE_EXPIRED
2026-07-27T04:14:19Z | E2E-015 | travel | reference-expiredBookingCode=ELIGIBILITY_NOT_APPROVED
2026-07-27T04:14:19Z | E2E-015 | travel | reference-cancelledStatus=ineligible
2026-07-27T04:14:19Z | E2E-015 | travel | reference-cancelledReason=REFERENCE_CANCELLED
2026-07-27T04:14:19Z | E2E-015 | travel | reference-cancelledBookingCode=ELIGIBILITY_NOT_APPROVED
2026-07-27T04:14:19Z | E2E-015 | travel | eligibilityVerificationId=elig_3fc3fde8-5598-48a5-8572-02567e028382
2026-07-27T04:14:19Z | E2E-015 | travel | benefitReference=benefit-travel-1785125654-2051564
2026-07-27T04:14:19Z | E2E-015 | travel | issuerAuthorizationRef=issuer-ref-f408af61
2026-07-27T04:14:19Z | E2E-015 | travel | wrongSubtypeCode=PARTNER_ENTRY_SUBTYPE_MISMATCH
2026-07-27T04:14:19Z | E2E-015 | travel | bookingId=booking-000002
2026-07-27T04:14:19Z | E2E-015 | travel | orderId=9f2d7519-3c7a-4c2b-ba68-83744cb4bb0b
2026-07-27T04:14:19Z | E2E-015 | travel | dispatchJobId=bf627cfa-343c-4ff4-a121-2f343b7971c8
2026-07-27T04:14:20Z | E2E-015 | travel | taskId=441cf38e-52eb-406c-843e-d06a8729c942
2026-07-27T04:14:20Z | E2E-015 | travel | driverId=drv-demo-004
2026-07-27T04:14:20Z | E2E-015 | travel | vehicleId=veh-demo-004
2026-07-27T04:14:20Z | E2E-015 | travel | completedAt=2026-07-27T04:14:20Z
2026-07-27T04:14:20Z | E2E-015 | travel | bookingStatusFinal=completed
2026-07-27T04:14:22Z | E2E-015 | travel | invoiceId=invoice-09ea45e3-6d6c-4bce-8968-3a5edafc4192
2026-07-27T04:14:22Z | E2E-015 | travel | invoiceLineCountForOrderId=1
2026-07-27T04:14:22Z | E2E-015 | travel | invoice.channelKey=partner_airport
2026-07-27T04:14:22Z | E2E-015 | travel | invoice.businessDispatchSubtype=travel_agency_transfer
2026-07-27T04:14:22Z | E2E-015 | travel | invoice.partnerEntrySlug=e2e-travel-agency-1785125654-2051564
2026-07-27T04:14:22Z | E2E-015 | travel | invoice.partnerId=partner_04192a22-66fe-4b38-a947-18346e991ce3
2026-07-27T04:14:22Z | E2E-015 | travel | invoice.partnerProgramId=program-e2e-travel-1785125654-2051564
2026-07-27T04:14:22Z | E2E-015 | travel | invoice.eligibilityVerificationId=elig_3fc3fde8-5598-48a5-8572-02567e028382
2026-07-27T04:14:22Z | E2E-015 | travel | invoice.benefitReference=benefit-travel-1785125654-2051564
